epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,51390.6,0.68134,1.02067,0.93403,0.50619,0.44114,0.44156,0.37736,0.66628,1.90293,0.95426,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,52099.3,0.67972,1.01181,0.93522,0.50493,0.43944,0.44139,0.37747,0.66628,1.91276,0.95427,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,52809.7,0.67344,0.9882,0.9337,0.50898,0.43767,0.44188,0.37878,0.66642,1.92166,0.95439,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,53522.9,0.67367,0.97464,0.93044,0.50219,0.44817,0.44099,0.3776,0.66698,1.93297,0.95476,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,54247,0.66583,0.95975,0.9285,0.49594,0.45346,0.44209,0.37893,0.66694,1.94457,0.95492,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,54962.6,0.6613,0.94104,0.92671,0.51166,0.44345,0.44236,0.37894,0.66699,1.95679,0.95495,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,55677.1,0.6585,0.91916,0.92375,0.50531,0.44913,0.44227,0.37878,0.66729,1.97089,0.955,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,56393.1,0.65089,0.90857,0.92162,0.49526,0.44987,0.44268,0.37945,0.66778,1.9855,0.95544,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,57098.3,0.6518,0.90409,0.92115,0.49852,0.45095,0.4418,0.38056,0.66767,2.00064,0.9555,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,57811,0.64219,0.86458,0.91991,0.50582,0.44732,0.44082,0.37952,0.66792,2.01603,0.95554,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,58524.8,0.64083,0.85756,0.91614,0.50525,0.44727,0.44294,0.38133,0.6685,2.03334,0.95577,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,59236.8,0.63509,0.83634,0.91388,0.50918,0.44043,0.44299,0.38127,0.66858,2.05101,0.95561,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,59945.1,0.62986,0.81437,0.91345,0.50847,0.44125,0.44269,0.3813,0.66958,2.06936,0.95615,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,60653.9,0.62293,0.79295,0.90974,0.5113,0.43906,0.44086,0.38005,0.67021,2.08831,0.9565,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,61362.9,0.61806,0.78731,0.90693,0.5146,0.43599,0.44513,0.38337,0.67116,2.10847,0.95695,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,62071.6,0.61579,0.77641,0.90923,0.52203,0.43597,0.44524,0.38375,0.67197,2.12792,0.95718,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,62786.8,0.60683,0.75782,0.90487,0.52018,0.43355,0.4446,0.38303,0.67294,2.14839,0.95767,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,63499.7,0.60324,0.7364,0.90388,0.52066,0.43161,0.44474,0.38268,0.6739,2.16946,0.95823,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,64208.7,0.60001,0.73345,0.90139,0.51478,0.42758,0.44403,0.38193,0.67502,2.19143,0.95901,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,64911.6,0.59295,0.70919,0.89817,0.51483,0.4278,0.44296,0.38138,0.67546,2.21467,0.95938,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,65631.6,0.52636,0.59476,0.87792,0.51619,0.42251,0.44146,0.37989,0.67646,2.23765,0.95996,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,66340.8,0.51587,0.55447,0.87186,0.51274,0.41904,0.44023,0.37921,0.67728,2.26349,0.96041,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,67050.6,0.50755,0.54003,0.86994,0.51473,0.41793,0.4388,0.37719,0.67852,2.28976,0.96115,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,67756.5,0.5008,0.52016,0.86738,0.51893,0.41543,0.43532,0.3742,0.67953,2.31648,0.96185,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,68467.9,0.49764,0.49651,0.86699,0.52238,0.41204,0.43441,0.37382,0.68025,2.34565,0.96229,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,744.869,0.58384,0.70422,0.89805,0.52015,0.41727,0.43496,0.37303,0.68032,2.34224,0.96224,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,1460.02,0.57953,0.68274,0.89545,0.51748,0.4177,0.43803,0.3759,0.68048,2.34237,0.96222,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,2174.16,0.57611,0.67294,0.89593,0.51568,0.4246,0.438,0.37568,0.68079,2.34711,0.9623,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
